task,algorithm,min_ess,mean_ess,max_ess,c2st_all,run_time,acceptance_rate
gaussian_linear,rula,85.27247908799994,119.78032093758914,175.29026025467326,0.7332909107208252,1837.731509047,
gaussian_linear,rwm,46.74912974065967,84.96909246731335,129.2204481080579,0.9104844331741332,1524.1779100530002,0.242
gaussian_linear,snle,2783.865990356819,2937.08729574868,3000.0,0.5149182677268982,6630.66044473648,
gaussian_linear_uniform,rula,93.49697407224366,152.492718138437,243.00679528224128,0.755624532699585,1931.989644694,
gaussian_linear_uniform,rwm,32.33473042040352,50.08162833238797,69.6163696648582,0.9276524782180786,694.577820606,0.189
gaussian_linear_uniform,snle,2951.877323382826,2990.81405448737,3000.0,0.5060807466506958,5860.03189253807,
gaussian_mixture,rula,196.24447682062143,260.60115007257025,324.95782332451904,0.7816263437271118,1024.953489893,
gaussian_mixture,rwm,317.9453134009353,368.65678218821904,419.3682509755028,0.7963010668754578,727.4440536720001,0.331
gaussian_mixture,snle,2934.901045170286,2967.450522585143,3000.0,0.5782645344734192,3111.6214928627,
bernoulli_glm,rula,150.9039943858943,210.48482723532635,273.521679187107,0.6996189951896667,1348.09813806,
bernoulli_glm,rwm,25.5955797724964,50.16886948348512,119.16971784462122,0.9024839997291564,915.827487399,0.291
bernoulli_glm,snle,1809.898578193052,2307.960498918355,2886.254392897581,0.5072512030601501,8924.61406850815,
sir,rula,46.97709971690898,77.23885065968449,107.50060160246,0.64127117395401,8500.71408256,
sir,rwm,69.20540119147255,70.03414047667212,70.86287976187171,1.0,8087.679554274,0.3686666666666666
sir,snle,2609.975950237704,2780.019491469383,2950.063032701062,0.6984474658966064,3669.503044605255,
